,SCHOOL_ID,count,l-count,c-count,ncount
0,29170100102,3,4,4,4
1,29170100103,2,3,3,3
2,29170100104,5,6,6,6
3,29170100201,44,45,45,45
4,29170100203,71,72,72,72
5,29170100501,3,4,4,4
6,29170100502,21,22,22,22
7,29170100701,44,45,45,45
8,29170100702,25,26,26,26
9,29170100704,32,33,33,33
10,29170100901,7,8,8,8
11,29170100902,30,31,31,31
12,29170101001,14,15,15,15
13,29170101101,12,13,13,13
14,29170101103,4,5,5,5
15,29170101401,6,7,7,7
16,29170101501,18,19,19,19
17,29170101502,53,54,54,54
18,29170101507,59,60,60,60
19,29170101601,20,21,21,21
20,29170102701,31,32,32,32
21,29170102802,31,32,32,32
22,29170102803,78,79,79,79
23,29170103001,43,44,44,44
24,29170103002,3,4,4,4
25,29170103102,47,48,48,48
26,29170103104,145,146,146,146
27,29170103201,1,2,2,2
28,29170103301,5,6,6,6
29,29170103401,28,29,29,29
30,29170103403,4,5,5,5
31,29170103501,15,16,16,16
32,29170103502,11,12,12,12
33,29170103503,14,15,15,15
34,29170103604,37,38,38,38
35,29170103606,37,38,38,38
36,29170103609,192,193,193,193
37,29170103701,2,3,3,3
38,29170103702,34,35,35,35
39,29170103901,4,5,5,5
40,29170104001,18,19,19,19
41,29170104003,112,113,113,113
42,29170104102,18,19,19,19
43,29170104301,4,5,5,5
44,29170104401,17,18,18,18
45,29170104403,3,4,4,4
46,29170104404,18,19,19,19
47,29170104405,25,26,26,26
48,29170104601,25,26,26,26
49,29170104801,25,26,26,26
50,29170104901,13,14,14,14
51,29170150101,5,6,6,6
52,29170150301,14,15,15,15
53,29170150401,36,37,37,37
54,29170150402,124,125,125,125
55,29170151101,13,14,14,14
56,29170200103,115,116,116,116
57,29170200104,6,7,7,7
58,29170200105,97,98,98,98
59,29170200301,4,5,5,5
60,29170200401,17,18,18,18
61,29170200402,6,7,7,7
62,29170200404,1,2,2,2
63,29170200604,14,15,15,15
64,29170200801,3,4,4,4
65,29170200803,70,71,71,71
66,29170200804,54,55,55,55
67,29170200901,56,57,57,57
68,29170200903,4,5,5,5
69,29170200904,16,17,17,17
70,29170200905,81,82,82,82
71,29170201301,25,26,26,26
72,29170201501,22,23,23,23
73,29170201702,19,20,20,20
74,29170201801,11,12,12,12
75,29170201903,84,85,85,85
76,29170201905,11,12,12,12
77,29170201906,74,75,75,75
78,29170202001,17,18,18,18
79,29170202101,2,3,3,3
80,29170202103,5,6,6,6
81,29170202105,6,7,7,7
82,29170202201,10,11,11,11
83,29170202301,61,62,62,62
84,29170202402,2,3,3,3
85,29170202502,13,14,14,14
86,29170202601,60,61,61,61
87,29170202602,8,9,9,9
88,29170202603,14,15,15,15
89,29170202604,56,57,57,57
90,29170202701,8,9,9,9
91,29170202801,24,25,25,25
92,29170202804,56,57,57,57
93,29170202901,31,32,32,32
94,29170202902,48,49,49,49
95,29170203001,7,8,8,8
96,29170203002,28,29,29,29
97,29170203101,36,37,37,37
98,29170203201,8,9,9,9
99,29170203403,19,20,20,20
100,29170203501,1,2,2,2
101,29170203502,8,9,9,9
102,29170203505,90,91,91,91
103,29170203506,66,67,67,67
104,29170203601,16,17,17,17
105,29170203701,28,29,29,29
106,29170203906,20,21,21,21
107,29170204101,1,2,2,2
108,29170204102,71,72,72,72
109,29170204103,76,77,77,77
110,29170204201,26,27,27,27
111,29170204205,1,2,2,2
112,29170204402,80,81,81,81
113,29170204404,22,23,23,23
114,29170204405,134,135,135,135
115,29170204501,7,8,8,8
116,29170204502,7,8,8,8
117,29170204503,46,47,47,47
118,29170204504,13,14,14,14
119,29170204506,34,35,35,35
120,29170204507,4,5,5,5
121,29170204601,3,4,4,4
122,29170204801,9,10,10,10
123,29170205001,5,6,6,6
124,29170205101,24,25,25,25
125,29170205102,9,10,10,10
126,29170205301,29,30,30,30
127,29170205501,19,20,20,20
128,29170205601,38,39,39,39
129,29170205603,47,48,48,48
130,29170205701,15,16,16,16
131,29170205703,4,5,5,5
132,29170205801,11,12,12,12
133,29170205802,2,3,3,3
134,29170205901,23,24,24,24
135,29170205903,1,2,2,2
136,29170205904,43,44,44,44
137,29170206001,181,182,182,182
138,29170206002,8,9,9,9
139,29170206101,64,65,65,65
140,29170206103,17,18,18,18
141,29170206104,11,12,12,12
142,29170206107,7,8,8,8
143,29170206108,91,92,92,92
144,29170206201,5,6,6,6
145,29170206202,7,8,8,8
146,29170206203,2,3,3,3
147,29170206303,23,24,24,24
148,29170206401,6,7,7,7
149,29170206402,23,24,24,24
150,29170206501,18,19,19,19
151,29170206601,2,3,3,3
152,29170206702,20,21,21,21
153,29170206901,16,17,17,17
154,29170206903,58,59,59,59
155,29170206904,6,7,7,7
156,29170206905,76,77,77,77
157,29170207204,26,27,27,27
158,29170207301,9,10,10,10
159,29170207501,22,23,23,23
160,29170207502,23,24,24,24
161,29170207504,61,62,62,62
162,29170207505,9,10,10,10
163,29170207506,75,76,76,76
164,29170207702,24,25,25,25
165,29170207703,26,27,27,27
166,29170207801,85,86,86,86
167,29170207805,118,119,119,119
168,29170207806,59,60,60,60
169,29170208001,44,45,45,45
170,29170208003,2,3,3,3
171,29170208004,5,6,6,6
172,29170208202,94,95,95,95
173,29170208205,250,251,251,251
174,29170208206,104,105,105,105
175,29170208207,4,5,5,5
176,29170208601,353,354,354,354
177,29170208901,2,3,3,3
178,29170209301,7,8,8,8
179,29170209302,23,24,24,24
180,29170209401,3,4,4,4
181,29170209402,18,19,19,19
182,29170209501,21,22,22,22
183,29170240701,9,10,10,10
184,29170240801,21,22,22,22
185,29170300101,5,6,6,6
186,29170300202,7,8,8,8
187,29170300203,2,3,3,3
188,29170300301,9,10,10,10
189,29170300303,4,5,5,5
190,29170300305,119,120,120,120
191,29170300306,5,6,6,6
192,29170300307,83,84,84,84
193,29170300401,2,3,3,3
194,29170300402,2,3,3,3
195,29170300403,27,28,28,28
196,29170300501,6,7,7,7
197,29170300502,11,12,12,12
198,29170300503,29,30,30,30
199,29170300601,4,5,5,5
200,29170300602,4,5,5,5
201,29170300603,8,9,9,9
202,29170300701,14,15,15,15
203,29170300702,32,33,33,33
204,29170300801,68,69,69,69
205,29170300802,3,4,4,4
206,29170300803,8,9,9,9
207,29170300804,9,10,10,10
208,29170300805,66,67,67,67
209,29170301001,3,4,4,4
210,29170301201,3,4,4,4
211,29170301301,21,22,22,22
212,29170301601,15,16,16,16
213,29170301602,9,10,10,10
214,29170301603,2,3,3,3
215,29170301701,21,22,22,22
216,29170301805,111,112,112,112
217,29170301901,4,5,5,5
218,29170302001,27,28,28,28
219,29170302102,9,10,10,10
220,29170302103,98,99,99,99
221,29170302201,8,9,9,9
222,29170302301,23,24,24,24
223,29170302901,23,24,24,24
224,29170303001,3,4,4,4
225,29170303201,17,18,18,18
226,29170303301,3,4,4,4
227,29170303401,51,52,52,52
228,29170303402,29,30,30,30
229,29170303501,21,22,22,22
230,29170303503,7,8,8,8
231,29170303601,3,4,4,4
232,29170303701,26,27,27,27
233,29170303702,7,8,8,8
234,29170303901,38,39,39,39
235,29170304001,64,65,65,65
236,29170304201,45,46,46,46
237,29170304202,54,55,55,55
238,29170304204,70,71,71,71
239,29170304301,4,5,5,5
240,29170304401,1,2,2,2
241,29170304403,22,23,23,23
242,29170304501,6,7,7,7
243,29170304601,7,8,8,8
244,29170304602,33,34,34,34
245,29170304603,45,46,46,46
246,29170304701,20,21,21,21
247,29170304801,15,16,16,16
248,29170304901,7,8,8,8
249,29170304902,17,18,18,18
250,29170304903,15,16,16,16
251,29170304904,66,67,67,67
252,29170305001,10,11,11,11
253,29170305002,3,4,4,4
254,29170305004,26,27,27,27
255,29170305005,71,72,72,72
256,29170305006,62,63,63,63
257,29170305101,42,43,43,43
258,29170305201,7,8,8,8
259,29170305202,19,20,20,20
260,29170305301,24,25,25,25
261,29170305401,3,4,4,4
262,29170305403,182,183,183,183
263,29170305404,11,12,12,12
264,29170305405,6,7,7,7
265,29170305406,268,269,269,269
266,29170305409,69,70,70,70
267,29170305410,2,3,3,3
268,29170305412,67,68,68,68
269,29170305414,140,141,141,141
270,29170305415,268,269,269,269
271,29170305416,85,86,86,86
272,29170305601,39,40,40,40
